Level: State and Local,,,,
Unit:Total (thousands), Nominal,,,
Pennsylvania,2012,"$3,303,388 ","$3,150,781 ","$152,607 "
Pennsylvania,2013,"$3,433,015 ","$3,179,242 ","$253,773 "
Pennsylvania,2014,"$3,298,663 ","$3,261,863 ","$36,800 "
Pennsylvania,2015,"$3,416,695 ","$3,377,058 ","$39,637 "
Pennsylvania,2016,"$3,515,548 ","$3,481,640 ","$33,908 "
Rhode Island,2006,"$194,796 ","$173,833 ","$20,963 "
Rhode Island,2007,"$220,383 ","$176,952 ","$43,431 "
Rhode Island,2008,"$227,295 ","$212,759 ","$14,536 "
Rhode Island,2009,"$196,758 ","$195,863 ",$895 
Rhode Island,2010,"$190,133 ","$189,369 ",$764 
Rhode Island,2011,"$197,097 ","$194,707 ","$2,390 "
Rhode Island,2012,"$199,280 ","$197,252 ","$2,028 "
Rhode Island,2013,"$203,558 ","$199,476 ","$4,082 "
Rhode Island,2014,"$206,792 ","$198,765 ","$8,027 "
Rhode Island,2015,"$211,174 ","$206,648 ","$4,526 "
Rhode Island,2016,"$222,123 ","$216,986 ","$5,137 "
South Carolina,2006,"$621,233 ","$602,478 ","$18,755 "
South Carolina,2007,"$661,665 ","$637,295 ","$24,370 "
South Carolina,2008,"$725,714 ","$674,141 ","$51,573 "
South Carolina,2009,"$757,909 ","$669,135 ","$88,774 "
South Carolina,2010,"$730,487 ","$656,948 ","$73,539 "
South Carolina,2011,"$672,033 ","$651,781 ","$20,252 "
South Carolina,2012,"$675,710 ","$666,846 ","$8,864 "
South Carolina,2013,"$717,109 ","$707,173 ","$9,936 "
South Carolina,2014,"$736,899 ","$728,207 ","$8,692 "
South Carolina,2015,"$767,022 ","$747,308 ","$19,714 "
South Carolina,2016,"$755,469 ","$746,577 ","$8,892 "
South Dakota,2006,"$140,574 ","$134,215 ","$6,359 "
South Dakota,2007,"$139,807 ","$135,899 ","$3,908 "
South Dakota,2008,"$153,211 ","$143,282 ","$9,929 "
South Dakota,2009,"$161,916 ","$152,237 ","$9,679 "
South Dakota,2010,"$162,546 ","$151,036 ","$11,510 "
South Dakota,2011,"$159,899 ","$154,204 ","$5,695 "
South Dakota,2012,"$164,693 ","$154,634 ","$10,059 "
South Dakota,2013,"$163,355 ","$158,723 ","$4,632 "
South Dakota,2014,"$173,122 ","$170,934 ","$2,188 "
South Dakota,2015,"$177,321 ","$174,740 ","$2,581 "
South Dakota,2016,"$179,646 ","$178,260 ","$1,386 "
Tennessee,2006,"$895,958 ","$851,310 ","$44,648 "
Tennessee,2007,"$951,831 ","$832,732 ","$119,099 "
Tennessee,2008,"$957,230 ","$906,509 ","$50,721 "
Tennessee,2009,"$1,035,398 ","$950,712 ","$84,686 "
Tennessee,2010,"$1,014,206 ","$1,002,024 ","$12,182 "
Tennessee,2011,"$1,018,197 ","$1,007,016 ","$11,181 "
Tennessee,2012,"$1,048,733 ","$1,038,664 ","$10,069 "
Tennessee,2013,"$1,067,268 ","$1,049,053 ","$18,215 "
Tennessee,2014,"$1,164,327 ","$1,119,295 ","$45,032 "
Tennessee,2015,"$1,161,777 ","$1,135,379 ","$26,398 "
Tennessee,2016,"$1,175,629 ","$1,150,215 ","$25,414 "
Texas,2006,"$4,429,650 ","$4,323,310 ","$106,340 "
Texas,2007,"$4,719,727 ","$4,562,793 ","$156,934 "
Texas,2008,"$5,214,563 ","$4,965,591 ","$248,972 "
Texas,2009,"$5,806,689 ","$5,496,395 ","$310,294 "
Texas,2010,"$5,744,841 ","$5,479,535 ","$265,306 "
Texas,2011,"$5,832,698 ","$5,581,988 ","$250,710 "
Texas,2012,"$5,482,193 ","$5,356,153 ","$126,040 "
Texas,2013,"$5,558,371 ","$5,430,919 ","$127,452 "
Texas,2014,"$5,696,663 ","$5,550,109 ","$146,554 "
Texas,2015,"$5,831,665 ","$5,685,311 ","$146,354 "
Texas,2016,"$5,921,011 ","$5,754,334 ","$166,677 "
Utah,2006,"$446,337 ","$431,795 ","$14,542 "
Utah,2007,"$476,429 ","$455,700 ","$20,729 "
Utah,2008,"$506,695 ","$493,461 ","$13,234 "
Utah,2009,"$525,759 ","$520,744 ","$5,015 "
Utah,2010,"$499,206 ","$495,685 ","$3,521 "
Utah,2011,"$497,248 ","$491,171 ","$6,077 "
Utah,2012,"$517,998 ","$493,603 ","$24,395 "
Utah,2013,"$514,990 ","$505,374 ","$9,616 "
Utah,2014,"$539,588 ","$530,659 ","$8,929 "
Utah,2015,"$528,622 ","$520,575 ","$8,047 "
Utah,2016,"$526,556 ","$515,826 ","$10,730 "
Vermont,2006,"$101,311 ","$100,840 ",$471 
Vermont,2007,"$113,549 ","$113,006 ",$543 
Vermont,2008,"$119,233 ","$118,790 ",$443 
Vermont,2009,"$119,200 ","$118,794 ",$406 
Vermont,2010,"$124,290 ","$124,074 ",$216 
Vermont,2011,"$126,422 ","$125,556 ",$866 
Vermont,2012,"$125,873 ","$125,280 ",$593 
Vermont,2013,"$135,285 ","$134,803 ",$482 
Vermont,2014,"$137,879 ","$137,137 ",$742 
Vermont,2015,"$143,436 ","$143,078 ",$358 
Vermont,2016,"$137,103 ","$136,515 ",$588 
Virginia,2006,"$1,756,137 ","$1,685,200 ","$70,937 "
Virginia,2007,"$1,941,376 ","$1,877,738 ","$63,638 "
Virginia,2008,"$2,080,402 ","$2,003,094 ","$77,308 "
Virginia,2009,"$2,237,744 ","$2,050,659 ","$187,085 "
Virginia,2010,"$2,120,072 ","$2,003,392 ","$116,680 "
Virginia,2011,"$2,147,621 ","$2,074,408 ","$73,213 "
Virginia,2012,"$2,183,660 ","$2,112,165 ","$71,495 "
Virginia,2013,"$2,260,559 ","$2,194,633 ","$65,926 "
Virginia,2014,"$2,410,245 ","$2,352,969 ","$57,276 "
Virginia,2015,"$2,472,309 ","$2,402,540 ","$69,769 "
Virginia,2016,"$2,560,724 ","$2,508,086 ","$52,638 "
Washington,2006,"$1,413,352 ","$1,297,209 ","$116,143 "
Washington,2007,"$1,580,878 ","$1,376,144 ","$204,734 "
Washington,2008,"$1,731,706 ","$1,528,528 ","$203,178 "
Washington,2009,"$1,730,396 ","$1,571,622 ","$158,774 "
Washington,2010,"$1,664,846 ","$1,568,743 ","$96,103 "
Washington,2011,"$1,595,452 ","$1,538,832 ","$56,620 "
Washington,2012,"$1,559,392 ","$1,484,030 ","$75,362 "
Washington,2013,"$1,547,070 ","$1,481,312 ","$65,758 "
Washington,2014,"$1,604,255 ","$1,557,349 ","$46,906 "
Washington,2015,"$1,677,560 ","$1,619,841 ","$57,719 "
Washington,2016,"$1,727,579 ","$1,644,040 ","$83,539 "
West Virginia,2006,"$254,160 ","$250,469 ","$3,691 "
West Virginia,2007,"$271,920 ","$269,045 ","$2,875 "
West Virginia,2008,"$272,524 ","$268,181 ","$4,343 "
West Virginia,2009,"$290,980 ","$285,980 ","$5,000 "
West Virginia,2010,"$323,564 ","$313,076 ","$10,488 "
West Virginia,2011,"$324,374 ","$319,383 ","$4,991 "
West Virginia,2012,"$333,775 ","$322,133 ","$11,642 "
West Virginia,2013,"$347,886 ","$332,495 ","$15,391 "
West Virginia,2014,"$353,736 ","$334,830 ","$18,906 "
West Virginia,2015,"$339,575 ","$320,806 ","$18,769 "
West Virginia,2016,"$353,589 ","$345,850 ","$7,739 "
Wisconsin,2006,"$1,276,332 ","$1,235,923 ","$40,409 "
Wisconsin,2007,"$1,365,799 ","$1,328,639 ","$37,160 "
Wisconsin,2008,"$1,446,503 ","$1,396,527 ","$49,976 "
Wisconsin,2009,"$1,516,021 ","$1,475,088 ","$40,933 "
Wisconsin,2010,"$1,523,868 ","$1,472,759 ","$51,109 "
Wisconsin,2011,"$1,543,626 ","$1,493,674 ","$49,952 "
Wisconsin,2012,"$1,545,438 ","$1,483,106 ","$62,332 "
Wisconsin,2013,"$1,475,862 ","$1,422,805 ","$53,057 "
Wisconsin,2014,"$1,507,528 ","$1,458,892 ","$48,636 "
Wisconsin,2015,"$1,540,158 ","$1,477,213 ","$62,945 "
Wisconsin,2016,"$1,553,919 ","$1,502,842 ","$51,077 "
Wyoming,2006,"$180,162 ","$141,846 ","$38,316 "
Wyoming,2007,"$171,491 ","$154,883 ","$16,608 "
Wyoming,2008,"$240,259 ","$170,028 ","$70,231 "
Wyoming,2009,"$222,267 ","$184,164 ","$38,103 "
Wyoming,2010,"$201,723 ","$197,153 ","$4,570 "
Wyoming,2011,"$201,929 ","$197,291 ","$4,638 "
Wyoming,2012,"$215,414 ","$209,405 ","$6,009 "
Wyoming,2013,"$213,000 ","$210,407 ","$2,593 "
Wyoming,2014,"$210,034 ","$207,690 ","$2,344 "
Wyoming,2015,"$213,887 ","$210,756 ","$3,131 "
Wyoming,2016,"$214,564 ","$213,090 ","$1,474 "
,,,,
Observations with N/A, missing years or zero values should be checked to see if data are available for a given year or level of government.,,,
